"ID";"TOMA";"SEXO";"EDADJUBILACION";"EDAD";"ECIVIL";"TIEMPOVIUDA";"EDADCONY";"ANIMO";"OCUPACION";"ULTIMAOCUPACION";"HACECUANTO";"CAMBIOJUBIL";"COMOCAMBIO";"NIVELESTUDIOS";"VECESMEDICO";"SALUDSUBJ";"SALUDSATIS";"VIDASTIS";"HACIENDOMAYOR";"CONQUIENVIVE";"MIEMBROSHOGAR";"VECES1";"VECES2";"VECES3";"VECES4";"VECES5";"VECES6";"VECES7";"VECES8";"VECES9";"VECES10";"VECES11";"VECES12";"VECES13";"LLEVA1";"LLEVA2";"LLEVA3";"LLEVA4";"LLEVA5";"LLEVA6";"LLEVA7";"LLEVA8";"LLEVA9";"LLEVA10";"LLEVA11";"LLEVA12";"CURSO1";"PROFE1";"CURSO2";"PROFE2";"CURSO3";"PROFE3";"CURSO4";"PROFE4";"MOTIVO1";"MOTIVO2";"MOTIVO3";"MOTIVO4";"MOTIVO5";"MOTIVO6";"MOTIVO7";"MOTIVO8";"MOTIVO9";"MOTIVO10";"MOTIVO11";"MOTIVO12";"MOTIVO13";"MOTIVO14";"MOTIVO15";"MOTIVO16";"MOTIVO17";"MOTIVO18";"MOTIVO19";"CURSOANT1";"PROFEANT1";"CURSOANT2";"PROFEANT2";"CURSOANT3";"PROFEANT3";"AÑOS";"LOGROS1";"LOGROS2";"LOGROS3";"LOGROS4";"LOGROS5";"LOGROS6";"LOGROS7";"LOGROS8";"LOGROS9";"LOGROS10";"LOGROS11";"LOGROS12";"LOGROS13";"LOGROS14";"LOGROS15";"LOGROS16"
1;13;2;57;60;2;NA;NA;6;"JUBILADA                                        ";"MEDICA                                          ";3;1;3;6;0;4;4;6;9;2;2;7;0;NA;3;2;NA;3;0;NA;NA;7;NA;NA;3;3;NA;5;NA;5;3;NA;NA;4;NA;NA;"VAMOS AL TEATRO                                 ";"LUCIANO DEL PRATO                               ";"A TODO RITMO                                    ";"IVANA BRUSSA                                    ";"                                                ";"                                                ";"                                                ";"                                                ";3;3;3;3;1;2;2;3;3;1;3;3;3;2;3;2;3;1;3;"VAMOS AL TEATRO                                 ";"LUCIANO DEL PRATO                               ";"EMOCIONES                                       ";"CARLA ARONICA                                   ";"CINE                                            ";"RAMIRO ORTIZ                                    ";NA;4;1;1;1;1;3;4;4;1;1;1;3;3;1;3;4
2;13;2;52;78;2;NA;79;4;"                                                ";"DOCENTE                                         ";25;0;NA;6;NA;2;2;6;6;2;2;7;NA;NA;2;2;NA;NA;NA;NA;NA;3;7;NA;4;5;5;5;NA;NA;NA;NA;3;4;NA;2;"EL CINE NOS CUENTA UNA HISTORIA                 ";"QUIQUE GONZALEZ                                 ";"                                                ";"                                                ";"                                                ";"                                                ";"                                                ";"                                                ";NA;4;NA;NA;NA;4;NA;4;NA;NA;4;NA;NA;NA;NA;NA;4;NA;NA;"EL CINE NOS CUENTA UNA HISTORIA                 ";"QUIQUE GONZALEZ                                 ";"                                                ";"                                                ";"                                                ";"                                                ";5;NA;NA;3;NA;NA;4;4;3;NA;NA;NA;NA;3;NA;3;4
3;13;2;57;NA;6;9;NA;4;"JUBILADA                                        ";"DIRECTORA DE PRIMARIA                           ";12;1;2;5;0;2;1;6;9;3;2;0;1;7;5;7;0;3;0;0;1;4;3;3;0;4;4;4;0;4;4;0;3;5;4;4;"CLUB DE CINE                                    ";"RAMIRO ORTIZ                                    ";"                                                ";"                                                ";"                                                ";"                                                ";"                                                ";"                                                ";3;3;3;1;1;2;2;3;4;2;3;3;2;3;4;2;3;1;3;"AUTOESTIMA                                      ";"MARCELA URRUTIA                                 ";"GENERATIVIDAD                                   ";"ANDRES URRUTIA                                  ";"HABILIDADES SOCIALES                            ";"ANDRES URRUTIA                                  ";8;4;3;4;3;3;3;4;3;3;2;3;3;3;3;3;3
4;13;2;75;76;6;11;NA;4;"EMPRESARIA                                      ";"EMPRESARIA                                      ";1;0;NA;5;NA;2;2;6;3;1;NA;NA;0;7;NA;5;7;NA;NA;NA;NA;4;NA;NA;NA;5;4;NA;5;NA;NA;NA;NA;5;NA;NA;"MINDFULNESS                                     ";"GRISELDA ROCHA                                  ";"                                                ";"                                                ";"                                                ";"                                                ";"                                                ";"                                                ";NA;4;NA;4;NA;4;NA;4;4;NA;4;4;NA;4;4;NA;4;NA;NA;"INFORMATICA                                     ";"RODRIGO RAPELA                                  ";"                                                ";"                                                ";"                                                ";"                                                ";2;NA;NA;NA;4;4;4;NA;3;NA;2;3;NA;4;NA;4;4
5;13;2;70;78;2;NA;87;6;"AMA DE CASA                                     ";"AMA DE CASA                                     ";8;1;2;4;1;3;3;9;NA;2;2;7;0;1;3;3;1;2;0;0;0;6;4;0;5;NA;5;5;5;5;5;NA;5;5;5;4;"JUGAR ACTIVAMENTE                               ";"GASTON MOISSET                                  ";"                                                ";"                                                ";"                                                ";"                                                ";"                                                ";"                                                ";3;4;2;1;3;3;3;3;4;3;4;4;2;3;3;2;3;1;3;"JUGAR ACTIVAMENTE                               ";"GASTON MOISSET                                  ";"                                                ";"                                                ";"                                                ";"                                                ";10;4;NA;3;3;4;3;4;3;3;3;3;3;3;3;3;3
6;13;2;57;72;5;NA;NA;6;"DISFRUTAR                                       ";"PROFESORA DE BIOLOGIA                           ";15;1;4;6;NA;2;2;9;NA;1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;4;5;5;4;5;3;NA;4;4;3;4;"GENERATIVIDAD II                                ";"GASTON MOISSET                                  ";"                                                ";"                                                ";"                                                ";"                                                ";"                                                ";"                                                ";4;4;NA;NA;NA;4;NA;NA;NA;NA;4;4;NA;NA;4;NA;4;NA;NA;"ORIGAMI II                                      ";"                                                ";"                                                ";"                                                ";"                                                ";"                                                ";2;4;NA;4;NA;4;4;4;4;NA;NA;NA;NA;NA;4;4;4
7;13;1;64;NA;2;NA;68;2;"JUBILADO                                        ";"MEDICO                                          ";5;1;2;6;0;2;1;6;3;2;2;7;0;NA;3;3;NA;3;NA;2;NA;1;NA;NA;3;2;NA;4;NA;4;3;9;3;4;3;3;"INTRODUCCION A LA COMPUTACION                   ";"LUCIANA GARZON                                  ";"                                                ";"                                                ";"                                                ";"                                                ";"                                                ";"                                                ";4;3;2;NA;9;3;3;4;2;9;4;3;9;2;3;4;3;4;2;"MEMORIA                                         ";"RAQUEL SANS                                     ";"RESILIENCIA                                     ";"                                                ";"EL ARTE DE NEGOCIAR                             ";"                                                ";6;3;3;3;2;2;3;4;2;2;1;9;9;3;9;3;4
8;13;2;60;66;1;NA;NA;4;"JUBILADA                                        ";"EMPLEADA                                        ";6;0;NA;4;1;2;2;6;6;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;5;NA;NA;NA;NA;NA;NA;5;5;3;NA;"COMPUTACION                                     ";"FERNANDA MASCIMINO                              ";"                                                ";"                                                ";"                                                ";"                                                ";"                                                ";"                                                ";3;3;3;3;4;4;4;4;3;4;4;4;NA;3;3;NA;NA;NA;3;"INTRODUCCION A LA COMPUTACION                   ";"FERNANDA MASCIMINO                              ";"                                                ";"                                                ";"                                                ";"                                                ";4;4;3;3;3;4;4;4;4;4;NA;3;3;4;4;4;4
9;13;2;65;67;2;NA;67;8;"CONTADORA                                       ";"CONCURSOS Y QUIEBRAS                            ";2;1;3;6;1;3;3;9;6;2;NA;7;3;NA;3;3;NA;3;NA;NA;NA;1;1;NA;5;5;0;5;0;5;4;0;4;4;5;4;"FRANCES II                                      ";"GABRIELA CHAVEZ                                 ";"                                                ";"                                                ";"                                                ";"                                                ";"                                                ";"                                                ";3;4;9;9;9;3;3;3;4;4;3;3;4;3;3;1;3;9;3;"FRANCES I                                       ";"GABRIELA CHAVEZ                                 ";"REDES SOCIALES                                  ";"MARIANA ARIAS                                   ";"                                                ";"                                                ";1;4;9;9;9;1;3;4;3;1;1;3;9;4;9;9;4
10;13;2;60;61;2;NA;67;6;"PREJUBILADA                                     ";"EMPLEADA                                        ";0;1;1;4;1;3;4;6;6;2;2;NA;1;2;2;2;1;2;1;1;1;3;NA;NA;5;4;5;5;5;5;5;5;5;5;NA;NA;"BAILOTERAPIA                                    ";"ERENIA ESCOBAR SANCHEZ                          ";"                                                ";"                                                ";"                                                ";"                                                ";"                                                ";"                                                ";3;4;4;1;1;3;3;4;4;1;NA;4;4;4;4;1;4;1;4;"BAILOTERAPIA                                    ";"ERENIA ESCOBAR SANCHEZ                          ";"                                                ";"                                                ";"                                                ";"                                                ";6;3;4;4;3;2;4;4;3;2;NA;2;1;4;4;4;9
