"X";"ID";"DNI";"SEXO";"EDADJUBILACION";"GRUPOTOMA";"TOMA";"NRO";"EDAD";"ECIVIL";"TIEMPOVIUDA";"EDADCONY";"ANIMO";"OCUPACION";"ULTIMAOCUPACION";"HACECUANTO";"CAMBIOJUBIL";"COMOCAMBIO";"NIVELESTUDIOS";"VECESMEDICO";"SALUDSUBJ";"SALUDSATIS";"VIDASTIS";"HACIENDOMAYOR";"CONQUIENVIVE";"MIEMBROSHOGAR";"VECES1";"VECES2";"VECES3";"VECES4";"VECES5";"VECES6";"VECES7";"VECES8";"VECES9";"VECES10";"VECES11";"VECES12";"VECES13";"LLEVA1";"LLEVA2";"LLEVA3";"LLEVA4";"LLEVA5";"LLEVA6";"LLEVA7";"LLEVA8";"LLEVA9";"LLEVA10";"LLEVA11";"LLEVA12";"MOTIVO1";"MOTIVO2";"MOTIVO3";"MOTIVO4";"MOTIVO5";"MOTIVO6";"MOTIVO7";"MOTIVO8";"MOTIVO9";"MOTIVO10";"MOTIVO11";"MOTIVO12";"MOTIVO13";"MOTIVO14";"MOTIVO15";"MOTIVO16";"MOTIVO17";"MOTIVO18";"MOTIVO19";"AÑOS";"LOGROS1";"LOGROS2";"LOGROS3";"LOGROS4";"LOGROS5";"LOGROS6";"LOGROS7";"LOGROS8";"LOGROS9";"LOGROS10";"LOGROS11";"LOGROS12";"LOGROS13";"LOGROS14";"LOGROS15";"LOGROS16"
2320;1925;958;1;66;"A";2;697;76;2;NA;75;6;"                                                ";"ODONTOLOGO                                      ";10;1;3;6;NA;2;9;9;6;2;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;4;0;4;4;4;9;4;0;3;4;4;4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;6;4;4;3;4;3;2;3;3;4;2;3;2;4;3;4;3
1336;1161;172;1;60;"A";2;574;69;6;5;NA;8;"JUBILADO                                        ";"PROF EDU FISICA                                 ";19;1;4;5;4;3;3;9;6;1;NA;NA;NA;7;NA;NA;7;NA;NA;NA;NA;NA;NA;NA;NA;NA;5;NA;5;NA;NA;NA;5;5;5;NA;NA;NA;NA;NA;NA;NA;NA;NA;4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
439;408;783;2;1;"B";4;369;58;4;NA;NA;6;"JUBILADA                                        ";"DOCENTE57                                       ";1;3;6;6;2;3;2;9;6;3;3;NA;2;7;7;NA;NA;NA;2;NA;1;3;4;NA;0;4;3;4;0;0;4;0;4;5;3;3;3;4;3;2;1;3;3;3;3;1;4;4;3;3;4;4;3;2;4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2596;2148;337;2;58;"B";4;499;65;2;NA;69;4;"JUBILADA                                        ";"PSICOLOGA                                       ";7;1;3;6;NA;2;2;3;6;2;2;7;0;1;1;1;1;1;0;0;0;0;1;0;3;2;4;4;4;4;4;NA;NA;4;4;NA;3;3;3;1;1;1;3;NA;NA;NA;3;NA;NA;NA;NA;NA;4;NA;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1939;1639;823;2;67;"D";10;129;59;1;NA;NA;6;"JUBILADA                                        ";"MEDICA                                          ";2;1;4;6;1;3;4;9;9;1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;7;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;5;NA;NA;4;4;4;9;9;4;9;4;4;4;4;4;4;4;4;4;4;49;4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1470;1263;379;2;50;"B";4;614;72;5;NA;NA;6;"VOLUNTARIO ATM                                  ";"DOCENTE                                         ";22;1;3;5;1;2;2;6;6;3;2;0;0;2;0;2;2;0;0;0;0;4;3;5;NA;NA;4;NA;3;NA;NA;NA;NA;5;5;4;4;4;2;2;3;3;2;4;4;2;4;4;3;4;4;2;4;1;4;10;4;4;4;4;4;4;4;4;4;3;4;4;4;4;4;4
1762;1497;830;1;65;"B";4;240;81;2;NA;76;6;"JUBILADA                                        ";"FARMACEUTICA                                    ";15;0;3;6;1;3;2;6;6;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;4;4;4;4;4;4;2;4;4;4;4;4;NA;NA;NA;4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3;4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
229;221;797;2;58;"E";13;7143;72;2;NA;77;4;"JUBILADA                                        ";"DOCENTE                                         ";14;0;NA;5;2;2;2;6;6;2;2;7;0;7;0;6;6;0;0;NA;NA;1;4;NA;4;4;5;4;4;4;4;NA;NA;5;5;NA;4;4;4;NA;3;4;NA;4;4;2;4;4;NA;4;NA;NA;4;NA;3;1;4;4;4;4;3;4;4;4;4;2;2;4;4;4;3;4
736;666;274;2;51;"D";10;340;65;2;NA;67;6;"JUBILADA                                        ";"EMPL BANCARIA                                   ";14;1;3;6;0;3;4;9;9;5;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;4;4;4;4;4;NA;NA;4;4;NA;NA;NA;4;4;NA;NA;4;4;NA;NA;NA;4;NA;NA;NA;4;NA;NA;NA;NA;11;4;NA;4;4;4;4;4;4;4;NA;3;4;NA;4;4;4
1355;1178;183;2;70;"A";1;182;75;2;NA;81;6;"AMA DE CASA                                     ";"AMA DE CASA                                     ";5;1;3;4;NA;3;3;6;6;5;4;7;2;4;7;2;3;NA;NA;NA;5;7;NA;NA;NA;5;4;5;4;0;4;0;3;4;4;4;NA;NA;4;NA;NA;4;NA;NA;4;4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;4;4;4;4;4;4;2;4;4;4;2;3;3;4;3;4
