ESCUELAS MUNICIPALES;;;;;TIPO DE ACCESO;;;
Nº;NOMBRE;DIRECCION ;COORDENADAS;;;;;
1;YAMAHIRIA ARABE LIBIA;CERRO COLORADO S/N (tel 3514333322);-31.48866, -64.23522;;Arnet Escuelas;Servicio de internet ADSL con filtro de contenido, en la mayoría de los sitios con pares de cobre y en las Escuelas más periféricas con enlaces inalámbricos. Velocidad de acceso 1 mbps/256 kbps ;;
2;PADRE CARANDE CARRO;ENRIQUE M.PAZ 80 (tel 3514335113);-31.37104, -64.17065;;Arnet Escuelas;;;
3;AZOR GRIMAUT;SOBREMONTE 6100 (tel 3514333323);-31.48503, -64.21539;;Arnet Escuelas;;;
4;ANGEL GASTALDI;SAN JERONIMO 5500 (tel 3514338565);-31.42425, -64.11565;;Arnet Escuelas;;;
5;JULIO GONZALEZ;EL CRESPIN S/N (tel 3514997932);-31.36901, -64.06097;;Arnet Escuelas;;;
6;GOB. JOSE A. CEBALLOS;AV FRANK S/N – B° FERREYRA (tel 3514338753);-31.46535, -64.08213;;Arnet Escuelas;;;
7;PTE.ARTURO U. ILLIA;MARTIN DE MAGUNA 2755 (tel 3514338563);-31.44772, -64.13928;;Arnet Escuelas;;;
8;GOB. AMADEO SABATTINI;JUAN A DE OLANO 2701 (tel 3514338626);-31.45654, -64.13358;;Arnet Escuelas;;;
9;GOB. BRIGADIER JUAN I.S.MARTIN;CARMEN DE PATAGONES 397 (tel 3514338574);-31.44481, -64.15609;;Arnet Escuelas;;;
10;DR. CARLOS BECERRA;JUAN GAONA 1268 (tel 3514337334);-31.42141, -64.23223;;Arnet Escuelas;;;
11;OSCAR SOTO LOPEZ;LOS CALDENES 5320 (tel 3514338754);-31.46196, -64.09821;;Arnet Escuelas;;;
12;JUSTO PAEZ MOLINA;QUEBRACHO HERRADO 200 (tel 3514337317);-31.40133, -64.24356;;Arnet Escuelas;;;
13;ING. JUAN MASJOAN;CALLE PUBLICA S/N (tel 3514335127);-31.33952, -64.22019;;Air Access;;;
14;GOB. ARTURO ZANICHELLI;AV. 14 BARRIO PARQUE LICEO (tel 3514991922);-31.35717, -64.15641;;Air Access;;;
15;DR. DONATO LATELLA FRIAS;EUSTAQUIO DIAZ VELEZ 2500 (tel 3514335115);-31.36784, -64.13507;;Arnet Escuelas;;;
16;DR. ERNESTO MOLINARI ROMERO;PAMPAYASTA Y RUMIPAL (tel 3514334358);-31.44976, -64.16261;;Arnet Escuelas;;;
17;DR. RAUL MARTINEZ;NILO PECANNA 7750 (tel 3543449423);-31.34099, -64.26828;;Arnet Escuelas;;;
18;SANTIAGO H. DEL CASTILLO;DR ANTONIO NAVARRO S/N (tel 3514333319);-31.43919, -64.22255;;Arnet Escuelas;;;
19;COOPERATIVISMO ARGENTINO;MARIO BRAVO Y PJE. MATHEU (tel 3514338564);-31.41862, -64.12164;;Arnet Escuelas;;;
20;ARSENIO MURRUGARREN;AMADEO GRASS 4273 ESQ PIZARRO (tel 3514338403);-31.35734, -64.2291;;Arnet Escuelas;;;
21;DR. CARLOS FERNANDEZ;CASABLANCA 2701 – B° SANTA ISABEL II (tel 3514333330);-31.47909, -64.22855;;Arnet Escuelas;;;
22;DR. CESAR E. ROMERO;AV ROSARIO DEL DORADO 6052 (tel 3514333321);-31.4547, -64.26364;;Arnet Escuelas;;;
23;MUTUALISMO ARGENTINO;ANTONIO ARCOS 3157 (tel 3514335426);-31.37595, -64.19415;;Arnet Escuelas;;;
24;ANTONIO SOBRAL ;CALLE PUBLICA S/N BARRIO SANGRE Y SOL (CONTINUACIÓN BAJADA DE PIEDRA);-31.4035, -64.13217;;Arnet Escuelas;;;
