"id";"tipo";"rendimiento"
1;"Democrático";"Bajo"
2;"Autoritario";"Bajo"
3;"Democrático";"Bajo"
4;"Democrático";"Bajo"
5;"Autoritario";"Alto"
6;"Autoritario";"Bajo"
7;"Autoritario";"Bajo"
8;"Democrático";"Alto"
9;"Autoritario";"Alto"
10;"Democrático";"Bajo"
11;"Democrático";"Bajo"
12;"Democrático";"Bajo"
13;"Democrático";"Bajo"
14;"Autoritario";"Alto"
15;"Autoritario";"Alto"
16;"Autoritario";"Bajo"
17;"Autoritario";"Alto"
18;"Democrático";"Alto"
19;"Democrático";"Alto"
20;"Democrático";"Alto"
21;"Autoritario";"Bajo"
22;"Democrático";"Alto"
23;"Democrático";"Alto"
24;"Autoritario";"Bajo"
25;"Democrático";"Bajo"
26;"Democrático";"Alto"
27;"Democrático";"Alto"
28;"Autoritario";"Bajo"
29;"Autoritario";"Bajo"
30;"Democrático";"Bajo"
31;"Autoritario";"Alto"
32;"Autoritario";"Bajo"
33;"Autoritario";"Alto"
34;"Autoritario";"Bajo"
35;"Democrático";"Bajo"
36;"Autoritario";"Alto"
37;"Democrático";"Alto"
38;"Democrático";"Alto"
39;"Democrático";"Alto"
40;"Autoritario";"Alto"
41;"Democrático";"Bajo"
42;"Autoritario";"Bajo"
43;"Democrático";"Bajo"
44;"Democrático";"Bajo"
45;"Democrático";"Bajo"
46;"Autoritario";"Bajo"
47;"Democrático";"Alto"
48;"Democrático";"Bajo"
49;"Autoritario";"Bajo"
50;"Democrático";"Alto"
51;"Democrático";"Bajo"
52;"Autoritario";"Bajo"
53;"Democrático";"Bajo"
54;"Autoritario";"Alto"
55;"Autoritario";"Alto"
56;"Democrático";"Bajo"
57;"Autoritario";"Bajo"
58;"Autoritario";"Bajo"
59;"Autoritario";"Bajo"
60;"Autoritario";"Bajo"
61;"Democrático";"Bajo"
62;"Democrático";"Bajo"
63;"Autoritario";"Bajo"
64;"Democrático";"Alto"
65;"Autoritario";"Bajo"
66;"Autoritario";"Bajo"
67;"Democrático";"Alto"
68;"Democrático";"Bajo"
69;"Autoritario";"Alto"
70;"Democrático";"Alto"
71;"Autoritario";"Alto"
72;"Autoritario";"Bajo"
73;"Autoritario";"Alto"
74;"Democrático";"Bajo"
75;"Democrático";"Alto"
76;"Autoritario";"Alto"
77;"Democrático";"Bajo"
78;"Autoritario";"Bajo"
79;"Autoritario";"Bajo"
80;"Autoritario";"Bajo"
81;"Democrático";"Alto"
82;"Autoritario";"Alto"
83;"Autoritario";"Alto"
84;"Autoritario";"Bajo"
85;"Autoritario";"Alto"
86;"Autoritario";"Bajo"
87;"Autoritario";"Alto"
88;"Autoritario";"Alto"
89;"Democrático";"Bajo"
90;"Autoritario";"Alto"
91;"Democrático";"Alto"
92;"Autoritario";"Alto"
93;"Democrático";"Bajo"
94;"Autoritario";"Alto"
95;"Autoritario";"Bajo"
96;"Autoritario";"Alto"
97;"Democrático";"Bajo"
98;"Autoritario";"Alto"
99;"Democrático";"Alto"
100;"Democrático";"Alto"
